Component Count:,104,,,,,,
,,,,,,,
Ref,Qnty,Value,Lomex,Mouser,,,
,,,,,,,
"C1, C2, C9, C10, C27, C28, ",6,10u,82-17-06,,,,23
,,,,,,,0
"C3, C4, C5, C6, C8, C11, C12, C14, C15, C16, C17, C18, C20, C21, C23, C24, C26, ",17,100n,82-13-46,,,,56
,,,,,,,0
"C7, C25, ",2,2.2u,82-12-91,,,,11
,,,,,,,0
"C13, ",1,22u,82-10-19,,,,8
,,,,,,,0
"D1, ",1,LED_Dual_AAK,95-00-13,,,,8
,,,,,,,0
"D2, D5, ",2,35V,96-03-92,,,,11
,,,,,,,0
"D3, D6, ",2,3V,85-00-96,,,,11
,,,,,,,0
"D4, D7, ",2,5V6,85-02-01,,,,11
,,,,,,,0
"F1, ",1,500mA,44-02-65,,,,8
,,,,,,,0
"F2, ",1,1A,44-01-78,,,,8
,,,,,,,0
"F3, F4, ",2,3A/5A,,652-MF-LSMF500/16X-2,,,11
,,,,,,,0
"IC1, IC3, ",2,LMR51420YFDDCR,,595-LMR51420YFDDCR,,,11
,,,,,,,0
"IC2, ",1,ESP32-WROVER-IE,,356-ESP32WVIE23264UC,,,8
,,,,,,,0
"J1, J2, ",2,Barrel_Jack_Switch_Pin3Ring,43-07-67,,,,11
,,,,,,,0
"J3, ",1,Conn_02x08_Odd_Even,43-01-07,,,,8
,,,,,,,0
"J4, ",1,Conn_01x04_Male,,,,,8
,,,,,,,0
"J5, ",1,Conn_ARM_JTAG_SWD_10,43-15-33,,,,8
,,,,,,,0
"JP1, ",1,Jumper_2_Open,,,,,8
,,,,,,,0
"L1, L2, ",2,PCD0504,93-02-78,,,,11
,,,,,,,0
"Q1, Q3, ",2,TSM2302/SI2302,86-03-40,,,,11
,,,,,,,0
"Q5, Q7, Q8, Q10, ",4,Si2333DDS,,78-SI2333DDS-T1-BE3,,,17
,,,,,,,0
"Q6, Q9, ",2,Si2307CDS,86-03-40,,,,11
,,,,,,,0
"R1, R2, R3, R4, R8, R11, R13, R16, R17, R18, R20, R22, R23, R24, R25, R26, R27, R28, R29, R30, R37, ",21,10k,80-54-49,,,,68
,,,,,,,0
"R6, R31, ",2,100k,80-55-70,,,,11
,,,,,,,0
"R7, R32, ",2,25k,80-41-54,,,,11
,,,,,,,0
"R9, R14, R35, ",3,68,80-56-46,,,,14
,,,,,,,0
"R10, ",1,56,80-10-71,,,,8
,,,,,,,0
"R19, ",1,680,80-10-84,,,,8
,,,,,,,0
"R21, R38, ",2,0R1,80-16-17,,,,11
,,,,,,,0
"R33, ",1,300,80-14-83,,,,8
,,,,,,,0
"RV1, RV2, ",2,30V,60-01-53,,,,11
,,,,,,,0
"SW1, ",1,SW_Push,45-11-28,,,,8
,,,,,,,0
"TP1, ",1,TP_GND,,,,,8
,,,,,,,0
"TP2, TP3, TP4, TP5, ",4,TestPoint,,,,,17
,,,,,,,0
"U1, ",1,IFX27001TFV33,89-25-59,,,,8
,,,,,,,0
"U2, U3, ",2,ZXBM5210-S,,621-ZXBM5210-S-13,,,11
,,,,,,,0
"U4, U5, U6, U7, ",4,OP07,,595-OP07CDR,,,17
